🕘️更新时间,#genre#
2026-06-21 20:10:09,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj$订阅源

📡卫视频道,#genre#
广东珠江,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj$订阅源
广东珠江,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj$订阅源
广东经济,http://bak.dou.ddns-ip.net/api.php?n=cctvxxx&id=Vw0hlP&tk=zUr4K92Dl6kh$订阅源
广东经济,http://bak.dou.ddns-ip.net/api.php?n=cctvxxx&id=Vw0hlP&tk=zUr4K92Dl6kh$订阅源
广东影视,http://bak.dou.ddns-ip.net/api.php?n=cctvxxx&id=BEitaP&tk=zUr4K92Dl6kh$订阅源
广东少儿,http://bak.dou.ddns-ip.net/api.php?n=cctvxxx&id=6ar7S3&tk=zUr4K92Dl6kh$订阅源
广东珠江超清,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj$订阅源
广东珠江高清,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj$订阅源
